,Review Text,Label,Bert,LR
0,Beautiful blouse - the material is great. long enough to wear over leggings but i've also worn with my flare jeans. somewhat fitted at the top and then drapes out in a gorgeous way. one of my new favorites.,1,1,1
1,"What a unique twist on the traditional cargo jacket! the swing styling on this jacket is so cute---not too full-, you still get a nice silhouette from the front, with the swing in the back this is a fresh take on this staple. it will be a ""go-to"" piece in my closet!! the quality of the material and tailoring on the jacket is wonderful!!! as other reviewers have commented, it does run large. i am exchanging it for a size down. i can't wait to get it in and wear it!",1,1,1
2,"Let me start off by saying i never write reviews, but feel compelled to so that no one else gets swindled into buying this beautiful one-time wear piece. i absolutely fell in love with this shirt when i bought it in the fall in black... perfect basic to wear under my new draped open vest from retailer! and perfect fit! i'm long torso-ed and long armed and always have trouble with fit. this being kind of oversized was just loose enough and long enough i could actually feel comfortable wearing it wi",1,1,1
3,"This dress did not work well on my figure. i have a small waist and broad hips, and the dress (size m for 140 lbs, 5'8"") was too boxy. i didn't have objections to the fabric, like other reviewers - honestly, even if there were a snag or two, the fabric is kind of rustic and i don't think a snag would look terrible, depending on where it is. i should note that one of the ornamental buttons immediately fell off the dress upon arrival. my friend got the same dress in a size s and it worked better f",0,0,0
4,Bought this dress to wear to work. love it! great buy,1,1,1
5,"If you are going for a ridiculously high priced ugly sweater contest, this is the one for you. i normally like clothing with some character and juxtaposition, but this one did not do it for me. i cannot imagine the collar fitting right or flattering anyone, and the mixed layers end up making it look cheap rather than trendy.",0,0,0
6,"This blazer looks great on the model and i have a long torso so i thought it would be perfect. when i got it it looked like a big box and didn't fit anywhere. the shoulder pads were giant and the bottom of the coat was huge. i got a small based on other reviews, but it was way too big. sadly, i had to return it.",0,0,0
7,"I should have listened to the reviews that said this top was too boxy, but i didn't believe them and bought it anyway. i was wrong! this top is so boxy and wide, just awful.",0,0,0
8,I got fooled by this dress's description. it's 100% polyester and not wool as it claims to be! looks cheap.returned it!,0,0,0
9,"Purchased dress in blue motif. love it. it is casual and comfortable, no fuss dress. love the sexy open scoop back that is just high enough to comfortably cover my bra strap.",1,1,1
10,This beautiful blue sweater was exactly what i wanted!,1,1,0
11,"I've never had a problem with pilcro jeans. i own several pairs. however, i ordered my regular size 28 (i'm 5'3, 120 pounds) and not only were these jeans thin, they had zero stretch and after 1 hour of wear stretched out horribly. they fit really loose and hung around my knees and legs which is very disappointing for a skinny jean.",0,0,0
12,"This sweater was exactly what i was looking for...something well made, cozy, easy to just throw on and go and still look chic. i am 5'3"" and 110 lbs and the x-small fit perfectly - still roomy but drapes well. i got the taupe which is nice but i got the red color for my sister in law and its gorgeous- more of a burnt orange than the red show here. i would definitely recommend this sweater!",1,1,1
13,"The color is as pictured. good quality. it's lined. the zipper in the back makes it look updated. i ordered my usual size. small petite size 6. it fit perfectly. i'm 5 feet and 120 lbs. hourglass figure. i had high hopes. i have hips and short, heavy legs. the skirt only emphasized my flaws. if you've got great legs you will do well with this. i do own other short skirts. but the fact that is less tailored in look makes it better suited for a younger gal. if you're on the fence give it a try. it",0,0,1
14,"As others stated, it was a tad bizarre to have a mock neck on the spring dress, however, i would wear this in the fall with boots and a nice moto jacket. another ""but"" is i wasn't sure about the color. i am very pale and the pale color is pretty much my skin color... however, the blue flowers and black lace make up for it as far as colors, and everyone liked it on me. lastly, cut: wow, this was just really nice on, very flattering,. i usually try on regular size in store and order petite, but th",1,1,1
15,"I wanted this top since the first time i saw it. it fits perfectly in a small, as i usually wear a small or medium. it would probably fit better if you are smaller on top -i am a 36a- as it is not generously sized. it flares at the bottom, which looks quite flattering. the lace on the sleeves really adds a lot of style. i will wash it carefully, as i am not sure how well the lace will hold up with washing. this is a beautiful top, and i am considering buying another in a different color. i think",1,1,1
16,"I am 5'5. 125 pounds, size 4-ish (sometimes a 4, sometimes a 6), athletic build. these pants fit great except they are pretty large around the waist, about 2 extra inches of space. i don't think the problem would be fixed by sizing down since only the waist was large. i will need to get them tailored.",1,1,1
17,"I first saw this online and was worried the design might look awkward in real life...not on a model, but tired it on in store and it looks great!  it has a tighter fit and seems to flair out in just the right place.  just the right thickness, not too thin or thick.  i am 5'6"", 124lb, 34b and got the xs.  i did not try on the s for comparison as i thought the xs fit great.  i'm always either an xs or s with retailer tops. blue is definitely more steel. interesting piece! will not disappointed!",1,1,1
